Consonants,Occur,Freq
1,97.0,0.043400447427293064
2,50.0,0.02237136465324385
3,120.0,0.053691275167785234
4,165.0,0.0738255033557047
5,45.0,0.020134228187919462
6,100.0,0.0447427293064877
7,48.0,0.021476510067114093
8,106.0,0.04742729306487696
9,35.0,0.015659955257270694
10,91.0,0.0407158836689038
11,49.0,0.02192393736017897
12,54.0,0.024161073825503355
13,66.0,0.02953020134228188
14,39.0,0.0174496644295302
15,61.0,0.027293064876957495
16,110.0,0.049217002237136466
17,22.0,0.009843400447427294
18,27.0,0.012080536912751677
19,60.0,0.026845637583892617
20,78.0,0.0348993288590604
21,76.0,0.03400447427293065
22,19.0,0.008501118568232663
23,46.0,0.02058165548098434
24,42.0,0.01879194630872483
25,63.0,0.028187919463087248
26,65.0,0.029082774049217
27,14.0,0.006263982102908278
28,33.0,0.01476510067114094
29,61.0,0.027293064876957495
30,66.0,0.02953020134228188
31,74.0,0.033109619686800894
32,80.0,0.035794183445190156
33,24.0,0.010738255033557046
34,25.0,0.011185682326621925
35,15.0,0.006711409395973154
36,19.0,0.008501118568232663
37,40.0,0.017897091722595078
38,14.0,0.006263982102908278
39,6.0,0.0026845637583892616
40,30.0,0.013422818791946308
